Years,Domestic Company-owned stores,Domestic franchise,Domestic stores,International franchise,Total revenues
2012,592.2,80.4,597.1,72.9,1342.6
2013,635.3,82.9,632.2,88.6,1439
2014,701.9,90.2,703.7,102.5,1598.3
2015,756.3,96.2,680.3,104.7,1637.5
2016,815.9,103,681.6,113.1,1713.6
